  134502120.406764030        1    1
 -1493165745.43612742        1    2
 -4838662.69946444593        1    3
 -230033405.034360230        1    4
 -2128454.93057084922        1    5
  8261146.08418962173        1    6
  17078237147.8902016        2    2
  40909388.3186331391        2    3
  2691427177.54472160        2    4
  24537252.4896544591        2    5
 -69885827.7717258632        2    6
  924569.988293547183        3    3
  5638975.92611227743        3    4
  325355.962823246722        3    5
 -1578089.46504242695        3    6
  475595731.575567305        4    4
  3719744.66208085138        4    5
 -9618945.19446955435        4    6
  275343.592328026542        5    5
 -557439.907089360640        5    6
  2693770.14338071877        6    6
