   56    0.32789E+00   -0.21432E-03    0.14008E-06    0.40361E-04   -0.52762E-07    0.19873E-07
   57    0.30953E+00   -0.25066E-03    0.20299E-06    0.39188E-04   -0.63470E-07    0.19846E-07
   58    0.29258E+00   -0.28362E-03    0.27493E-06    0.38072E-04   -0.73812E-07    0.19817E-07
   59    0.27692E+00   -0.31350E-03    0.35491E-06    0.37010E-04   -0.83799E-07    0.19786E-07
   60    0.26241E+00   -0.34058E-03    0.44203E-06    0.35999E-04   -0.93443E-07    0.19753E-07
   61    0.24897E+00   -0.36511E-03    0.53544E-06    0.35033E-04   -0.10275E-06    0.19718E-07
   62    0.23649E+00   -0.38730E-03    0.63428E-06    0.34111E-04   -0.11173E-06    0.19681E-07
   63    0.22488E+00   -0.40732E-03    0.73776E-06    0.33230E-04   -0.12038E-06    0.19641E-07
   64    0.21407E+00   -0.42535E-03    0.84512E-06    0.32386E-04   -0.12869E-06    0.19598E-07
   65    0.20400E+00   -0.44154E-03    0.95567E-06    0.31578E-04   -0.13669E-06    0.19551E-07
   66    0.19461E+00   -0.45605E-03    0.10687E-05    0.30803E-04   -0.14437E-06    0.19501E-07
   67    0.18582E+00   -0.46901E-03    0.11838E-05    0.30059E-04   -0.15173E-06    0.19448E-07
   68    0.17761E+00   -0.48054E-03    0.13001E-05    0.29344E-04   -0.15878E-06    0.19391E-07
   69    0.16992E+00   -0.49076E-03    0.14174E-05    0.28657E-04   -0.16553E-06    0.19331E-07
   70    0.16271E+00   -0.49977E-03    0.15351E-05    0.27996E-04   -0.17198E-06    0.19267E-07
   71    0.15594E+00   -0.50768E-03    0.16528E-05    0.27360E-04   -0.17814E-06    0.19199E-07
   72    0.14958E+00   -0.51456E-03    0.17700E-05    0.26746E-04   -0.18401E-06    0.19128E-07
   73    0.14360E+00   -0.52049E-03    0.18865E-05    0.26155E-04   -0.18959E-06    0.19053E-07
   74    0.13797E+00   -0.52553E-03    0.20017E-05    0.25584E-04   -0.19489E-06    0.18974E-07
   75    0.13267E+00   -0.52977E-03    0.21154E-05    0.25033E-04   -0.19991E-06    0.18892E-07
   76    0.12766E+00   -0.53325E-03    0.22274E-05    0.24499E-04   -0.20466E-06    0.18805E-07
   77    0.12293E+00   -0.53603E-03    0.23372E-05    0.23983E-04   -0.20914E-06    0.18714E-07
   78    0.11846E+00   -0.53816E-03    0.24448E-05    0.23484E-04   -0.21336E-06    0.18619E-07
   79    0.11424E+00   -0.53971E-03    0.25498E-05    0.23000E-04   -0.21731E-06    0.18521E-07
   80    0.11023E+00   -0.54070E-03    0.26522E-05    0.22531E-04   -0.22102E-06    0.18419E-07
   81    0.10643E+00   -0.54118E-03    0.27517E-05    0.22076E-04   -0.22448E-06    0.18313E-07
   82    0.10283E+00   -0.54119E-03    0.28482E-05    0.21634E-04   -0.22769E-06    0.18203E-07
   83    0.99413E-01   -0.54076E-03    0.29415E-05    0.21205E-04   -0.23067E-06    0.18089E-07
   84    0.96163E-01   -0.53991E-03    0.30314E-05    0.20788E-04   -0.23341E-06    0.17972E-07
   85    0.93073E-01   -0.53869E-03    0.31178E-05    0.20382E-04   -0.23591E-06    0.17851E-07
   86    0.90132E-01   -0.53711E-03    0.32007E-05    0.19987E-04   -0.23819E-06    0.17726E-07
   87    0.87332E-01   -0.53519E-03    0.32798E-05    0.19603E-04   -0.24025E-06    0.17598E-07
   88    0.84662E-01   -0.53298E-03    0.33553E-05    0.19229E-04   -0.24208E-06    0.17466E-07
   89    0.82117E-01   -0.53048E-03    0.34269E-05    0.18864E-04   -0.24370E-06    0.17331E-07
   90    0.79687E-01   -0.52771E-03    0.34947E-05    0.18509E-04   -0.24511E-06    0.17192E-07
   91    0.77367E-01   -0.52471E-03    0.35586E-05    0.18162E-04   -0.24632E-06    0.17050E-07
   92    0.75149E-01   -0.52147E-03    0.36186E-05    0.17823E-04   -0.24733E-06    0.16905E-07
   93    0.73028E-01   -0.51802E-03    0.36746E-05    0.17493E-04   -0.24814E-06    0.16757E-07
   94    0.70998E-01   -0.51437E-03    0.37266E-05    0.17170E-04   -0.24876E-06    0.16605E-07
   95    0.69054E-01   -0.51054E-03    0.37745E-05    0.16855E-04   -0.24919E-06    0.16451E-07
   96    0.67191E-01   -0.50652E-03    0.38185E-05    0.16546E-04   -0.24944E-06    0.16295E-07
   97    0.65404E-01   -0.50235E-03    0.38584E-05    0.16245E-04   -0.24951E-06    0.16135E-07
   98    0.63690E-01   -0.49802E-03    0.38942E-05    0.15950E-04   -0.24941E-06    0.15973E-07
   99    0.62044E-01   -0.49355E-03    0.39261E-05    0.15661E-04   -0.24913E-06    0.15809E-07
  100    0.60462E-01   -0.48895E-03    0.39540E-05    0.15379E-04   -0.24870E-06    0.15642E-07
  101    0.58942E-01   -0.48423E-03    0.39780E-05    0.15102E-04   -0.24810E-06    0.15473E-07
  102    0.57480E-01   -0.47939E-03    0.39982E-05    0.14831E-04   -0.24735E-06    0.15302E-07
  103    0.56073E-01   -0.47445E-03    0.40145E-05    0.14566E-04   -0.24645E-06    0.15130E-07
  104    0.54718E-01   -0.46942E-03    0.40270E-05    0.14305E-04   -0.24541E-06    0.14955E-07
  105    0.53413E-01   -0.46429E-03    0.40359E-05    0.14050E-04   -0.24423E-06    0.14779E-07
  106    0.52154E-01   -0.45909E-03    0.40412E-05    0.13800E-04   -0.24291E-06    0.14601E-07
  107    0.50941E-01   -0.45382E-03    0.40429E-05    0.13555E-04   -0.24147E-06    0.14422E-07
