  5379575.41780034453        1    1
 -4656722.63236941863        1    2
  4302794.09889250807        1    3
 -2435.27894382108980        1    4
 -15729408.5507492125        1    5
 -324202.321139548672        1    6
 -94450.9301636052260        1    7
  39747.3190897637614        1    8
  4459243.00552012678        2    2
 -3659798.09641484404        2    3
 -1791.60219694259604        2    4
  15904233.7444446702        2    5
  309082.629036809667        2    6
  90003.0428785075928        2    7
  175359.092579265387        2    8
  3627522.75108950306        3    3
  362.205152343251711        3    4
 -10848340.4725703374        3    5
 -254039.340892392152        3    6
 -73986.3733309133095        3    7
  18645.5037005528757        3    8
  493.430757513793424        4    4
  9196.46248480923168        4    5
  39.6461728559687998        4    6
  16.7075069654429882        4    7
 -3173.51501254504683        4    8
  69127750.0183309764        5    5
  1107549.49507776159        5    6
  322675.214450304513        5    7
  651258.986429602024        5    8
  21477.8559491655797        6    6
  6255.94190337695272        6    7
  11122.8577533843018        6    8
  1822.24744101019792        7    7
  3206.39591945626444        7    8
  161895.368021882372        8    8
