Wavelength (nm)	Intensity  (1 mm of glass)
648.00	9.2000
647.00	9.4000
646.00	9.5000
645.00	9.7000
644.00	9.9000
643.00	10.200
642.00	10.400
641.00	10.600
640.00	10.800
639.00	11.000
638.00	11.300
637.00	11.500
636.00	11.700
635.00	12.000
634.00	12.300
633.00	12.500
632.00	12.800
631.00	13.100
630.00	13.400
629.00	13.600
628.00	13.900
627.00	14.300
626.00	14.600
625.00	14.900
624.00	15.200
623.00	15.500
622.00	15.800
621.00	16.100
620.00	16.500
619.00	16.800
618.00	17.200
617.00	17.600
616.00	17.900
615.00	18.300
614.00	18.700
613.00	19.100
612.00	19.500
611.00	19.900
610.00	20.300
609.00	20.800
608.00	21.200
607.00	21.600
606.00	22.000
605.00	22.500
604.00	22.900
603.00	23.400
602.00	23.900
601.00	24.500
600.00	25.000
599.00	25.300
598.00	25.800
597.00	26.300
596.00	26.900
595.00	27.400
594.00	27.900
593.00	28.400
592.00	29.000
591.00	29.600
590.00	30.100
589.00	30.700
588.00	31.300
587.00	31.800
586.00	32.400
585.00	33.000
584.00	33.600
583.00	34.200
582.00	34.800
581.00	35.400
580.00	36.100
579.00	36.800
578.00	37.400
577.00	38.000
576.00	38.700
575.00	39.400
574.00	40.000
573.00	40.800
572.00	41.500
571.00	42.100
570.00	42.800
569.00	43.500
568.00	44.200
567.00	44.900
566.00	45.600
565.00	46.300
564.00	46.900
563.00	47.600
562.00	48.300
561.00	49.100
560.00	49.800
559.00	50.500
558.00	51.200
557.00	51.900
556.00	52.600
555.00	53.400
554.00	54.100
553.00	54.800
552.00	55.500
551.00	56.200
550.00	57.000
549.00	57.700
548.00	58.400
547.00	59.100
546.00	59.700
545.00	60.400
544.00	61.100
543.00	61.800
542.00	62.500
541.00	63.200
540.00	63.800
539.00	64.500
538.00	65.200
537.00	65.900
536.00	66.600
535.00	67.200
534.00	67.800
533.00	68.500
532.00	69.200
531.00	69.800
530.00	70.400
529.00	71.000
528.00	71.600
527.00	72.200
526.00	72.800
525.00	73.400
524.00	73.900
523.00	74.500
522.00	75.000
521.00	75.500
520.00	76.100
519.00	76.600
518.00	77.100
517.00	77.600
516.00	78.100
515.00	78.600
514.00	79.100
513.00	79.500
512.00	79.900
511.00	80.400
510.00	80.800
509.00	81.200
508.00	81.600
507.00	82.000
506.00	82.300
505.00	82.700
504.00	83.000
503.00	83.300
502.00	83.700
501.00	84.000
500.00	84.300
499.00	84.500
498.00	84.800
497.00	85.100
496.00	85.400
495.00	85.600
494.00	85.900
493.00	86.100
492.00	86.300
491.00	86.500
490.00	86.600
489.00	86.900
488.00	87.000
487.00	87.200
486.00	87.300
485.00	87.400
484.00	87.600
483.00	87.700
482.00	87.900
481.00	88.000
480.00	88.200
479.00	88.300
478.00	88.400
477.00	88.500
476.00	88.600
475.00	88.700
474.00	88.800
473.00	88.900
472.00	88.900
471.00	89.000
470.00	89.100
469.00	89.100
468.00	89.200
467.00	89.200
466.00	89.300
465.00	89.300
464.00	89.300
463.00	89.400
462.00	89.400
461.00	89.400
460.00	89.400
459.00	89.500
458.00	89.500
457.00	89.500
456.00	89.500
455.00	89.500
454.00	89.500
453.00	89.500
452.00	89.500
451.00	89.500
450.00	89.500
449.00	89.500
448.00	89.500
447.00	89.500
446.00	89.500
445.00	89.500
444.00	89.400
443.00	89.400
442.00	89.400
441.00	89.400
440.00	89.400
439.00	89.300
438.00	89.300
437.00	89.300
436.00	89.200
435.00	89.200
434.00	89.200
433.00	89.200
432.00	89.200
431.00	89.200
430.00	89.100
429.00	89.100
428.00	89.000
427.00	89.000
426.00	88.900
425.00	88.900
424.00	88.900
423.00	88.800
422.00	88.700
421.00	88.700
420.00	88.600
419.00	88.600
418.00	88.500
417.00	88.500
416.00	88.400
415.00	88.400
414.00	88.300
413.00	88.300
412.00	88.200
411.00	88.200
410.00	88.100
409.00	88.000
408.00	88.000
407.00	87.900
406.00	87.800
405.00	87.700
404.00	87.700
403.00	87.600
402.00	87.500
401.00	87.400
400.00	87.400
399.00	87.300
398.00	87.200
397.00	87.100
396.00	87.000
395.00	86.900
394.00	86.700
393.00	86.600
392.00	86.500
391.00	86.400
390.00	86.300
389.00	86.200
388.00	86.000
387.00	85.800
386.00	85.700
385.00	85.500
384.00	85.400
383.00	85.200
382.00	85.000
381.00	84.700
380.00	84.400
379.00	84.200
378.00	84.000
377.00	83.900
